영화댓글
이걸 왜 지금 봤을까..
보는 내내 눈이 즐거웠던 교훈 주는 만화영화
진짜 화려하고 쭉 몰입해서 본영화
애니메이션이라는 틀을 깨버리는 스탠 리의 자식들
"정말 재밌다는 소문만 듣다가 이제서야 봄. 만화적 연출을 위한 저 프레임 연출은 호불호가 좀 갈린부분 아닐까, 나또한 저 부분이 그렇게 와닿게 만화적이게 보이게 했는지는 모르겠다 그냥 부드럽게 보는게 더 보기 편하지 않았을까, 그 외에 만화적 표현들은 연출적으로 아주 훌륭했다. BGM : 중간 중간 깔리는 음악들은 아주 훌륭했다. 연출과 아주 찰떡궁합. 스토리는 좀 진부했다 아주 무난하고 평범한 히어로물 주인공의 위기와 성장 살짝 개연성이 아쉬운 부분이 있었으나 감안하고 보기엔 마무리 포장까지 완성도가 높았다. 개인적 총평은. 아주 재밌었던 영화라기 보단 아주 잘 만든 영화에 가까웠다."
소니 최고의 애니메이션
최고다.
"최고의 스파이더맨 영화, 그냥 믿는거야!"
스파이더맨 영화중 가히 최고
완벽하다 너무 재밌다 진짜 잘 만든 영화
""
극장에서 봤을때의 감동을 아직도 잊지못함 개인적으로 재개봉했으면 좋겠다
"영상미, 음악, 스토리 뭐하나 빠지는게 없네"
곤니찌와에서 ㅡ ㅡ ... 재밌다가 식었음 ㅠ
이게 예술이 아니면 뭔가요?
와 ㄹㅇ 내 인생 영화에 들어갈정도로 재밌음. 특유의 BOOM이라던가 만화같은 연출이랑 팝송같은 음악이 너무 좋았음
명대사:헤이
진짜 고퀄리티다....
스파이더맨 판권을 소니가 가져야 하는 이유
갠적으로 영화 2번이상 보고싶은거 없었는데 생겼다. 힘든요즘 힘내게 해준영화 왜 이제봤지?
영화도 재밌는데 연출이 일단 개신선하고 무엇보다 ost가 진짜 죽인다 ㅋㅋㅋㅋ
영상미 색감 액션 정말 삼박자를 다갖춘 영화에요ㅜㅜㅜ 다채로운 색의 조합이 눈을 즐겁게 만들고 화려한액션은 정말 말할것도 없네요.... 극장에서 못본게 아쉽네요 정말 재밌게 봤습니다 !!
이게 진짜 현대예술이지
스파이더맨 작품들 중에 최고.
스파이더맨 뉴 유니버스.
영화의 색감이 너무 좋다 눈이 즐거운 영화!
""
"애니메이션 자체로도 훌륭하지만, 전달하려는 메세지와 전달하는 방식도 매우 뛰어나다."
마블에서 만든 실사판보다 더 괜찮음 스파이더맨 특유의 설정때문에 애니메이션이 더 잘 맞는듯
존잼 3번이나 봄 ♡♡♡♡
꼭보셈 어벤져스보다 재밌음
진짜 잘 만들었음. 영상미가 좋음.
내가 스파이더맨 좋아하고 좀 안다 하시는분들은 더 재밋게 볼거같아요ㅋㅋㅋ 너무 재밌었음
생각한거 보대는 재밌다킬링타임용으로는 훌륭함
전반적으로 좋으나 후반부가 너무 일본스러운 아기자기한 판타지 세계가 나와 고개를 돌리게 된다.
득특하고 창의적인 완벽한 스파이더맨 영화!
""
개인적으루 ost ㄹㅇ 미쳤음. 넘 좋당.
그냥 미쳤음 모든게 새롭다
애니메이션으로는 볼만 했음. 다만 실사 유니버스와는 별도로 계속 나왔으면 한다.
"스파이더맨으로 더 이상 뽑아 낼게 있나 싶었는데, 깜놀했음ㅎ 진짜 잘 만들었다. 신선해~~!"
풀뿌리 영웅주의에 대한 감각적인 해설.
경이로운 소문 오프닝 영상보다 자꾸 스파이더맨:뉴유니버스가 떠올라 다시 봤더니역시는 역시!!!
진짜 그냥 완벽하다 ㅠ ㅅ ㅠ
지린다...역대 스파이더맨중 가장재밌었다
스뽜이더맨~ 쓰뽜이더맨~
요즘 괜찮은영화 못만들고있는것같던데 드디어 걸작하나 만들어준 소니. 내용은 평범하지만 작화가 대단하다
""
메세지나 영화적 완성도는 물론이고 ost만으로도 일단 반은 먹고들어간다.
"이런 애니매이션은 처음이다. 내용, 색채, 스타일, 음악 그리고 스피디하고 통통 튀는 전개지루할 틈이 없다. 누구나 영웅이 될 수 있는 꿈을 꿀 수 있는 영화."
""
왓챠에떴길래 봤더니 이거 개꿀잼이네 ㅋㅋㅋ
애니메이션이 이렇게 스타일리쉬하고 힙할줄이야
지금 스파이더맨은 아이언맨 사이드킥 꼬봉되어버렸는데 . 이게 진짜 스파이더맨 후계자를 키우는거네 . 너무 멋있다
진짜 개 조오오오온잼 영상미대박
그림체가 가장 마음에 들었습니다. 스토리도 좋네요
최고의 스파이더맨 영화. 이걸 극장에서 볼수있었던건 내 인생의 자랑
"스파이더맨 시리즈 역대 최고의 띵작, 애니라서 실사영화의 한계를 뛰어넘는 연출을 보여준다."
스토리는 매우 아쉽지만 애니메이션이 상당히 볼만하다
"색다른 제안, 기막힌 완성."
애니메이션이 상당이 퀄리티 높고 연출. 캐릭터 움직임 등 상당히 공들인 느낌이 남.다만 다른 스파이더맨들의 컨셉 몇몇이 좀 억지스럽고 존재감이 별로 없어 그부분이 아쉽
""
""
"구라안치고 존나게, 졸라, 조지게 재밌다"
""
ㅠㅠ너무 좋음 감상평 안 남기는데 너무 좋아서 남길수밖에없음 아트북도 삼 ㅠㅠ
스파이더맨이 의도하지 않은 일로 얻은 능력에 대한 책임을 가져야 하는 건데 그게 얼마나 힘든지 공감이 감
OST 매일 듣는중ㅜㅜ
""
소니애니메이션중 가자앙 완성도높고 영상미좋고Ost좋고..다좋당
아이가 보고싶어해서 별기대없이 봤는데너무 재밌어요!히어로물 안 좋아하는데이것 땜에 다른 시리즈도 보고싶다하는 마음이 생기네요.영상이 멋있고 위트 있고 감동도 있고 참 재미있게 봤습니다^^
영상미가 끝내준다. 스토리도 맨날 영화화하던 피터파커가 주인공이 아닌 새로운 주인공이라서 흥미로웠고 멀티 유니버스 컨셉이라서 식상하지 않아 좋았음.
와 소니 큰그림이네 기존 마블 스파이더맨말고 흑인스파이더맨 저작권을 소니가 만들었으니 흑인스파이더맨은 소니한테 사서 써야하네. 난 더빙으로봤는데 자막으로보시기를추천. 난 다른 차원캐릭터들 돼지스파이더맨들활약기대했는데 그런거없네 흑인 비중챙기는작품임 개인적으로 9.38너무높은듯 8.5가 맞을듯
그동안 이미지나 기사만 보고 뭔가 카툰애니스러울거란 선입견이 있었는데 의외로 실사로도 무리없는 제대로 된 애니였다. political correctness이 묻어 굳이 차세대 스파이디를 흑인으로 삼은건 약간 거슬렸다. 그럼 황인종 스파이디는 언제 등장시킬건데? 미래에서 로봇과 함께 온 일본 미소녀캐릭터와 이 황당함을 무마하기위해 카툰돼지 스파이더햄까지 등장시켰을때 스파이디 판권이 소니였지란 생각이 들수밖에 없었다. 어이가 없던 캐릭터들였다. 친하던 삼촌이 뜬금없이 빌런이었단 것 외엔 괜찮은 스토리와 훌륭한 그래픽이 칭찬할만하다. 피터파커를 치우고 굳이 흑인소년 마일즈를 스파이디로 만들었지만 스파이디팬들에게 원조대체에 대한 불만을 가시게 할만큼 꽤 괜찮은 스토리텔링과 흑인문화권다운 새로운 스타일링을 선보였다. 더구나 수퍼히어로물중 스파이디와 소년의 성장드라마는 찰떡이라 더더욱 만족감이 높을수밖에 없다. 선입견을 지울만큼 꽤 괜찮은 세대교체다. 그렇다고 실사영화서도 피터파커를 제거하고 마일즈나 기타 새 스파이디를 출현시켜야 하냐는데선 찬성하지 않는다. 상업성에서 성공적으로 후속작들이 쏟아졌지만 아직도 토비의 스파이디외엔 딱히 가슴에 남는 내용도 없다. 피터파커서 짜낸 스토리가 원조 토비시절말고는 삼촌을 무한반복사망시킬만큼 후속작들에서 새로 나온것도 없다. 굳이 이미지고갈을 핑계로 피터파커를 새 인물로 갈아치워야할 이유가 없다. 더구나 페미와 political correctness에 오염된 현시대에는 더욱 동의하지 않는다.
그냥 넘모 재밌음..
이 영화의 세련되고 아름다울 정도의 영상미는 예술과도 같다. 그리고 그러한 영상에 걸맞는 OST들이 관객들을 더욱 즐겁게 만들어준다. 이 작품을 영화관에서 보지 못한게 천추의 한
이거 곧 다른 내용과 다른 방식으로 만들어짐 곧 ㅋㅋㅋㅋ
영화로 구현이 쉽지 않을 듯
재밌긴개뿔 주인공 ㅈㄴ답답하고 개연성도 없고 뭔
세상 모든 간지를 다 때려박은 영화
1212번봐도존잼;미친영화
""
평식이 7점 ㅋ ㅋ ㅋ ㅋ 꼭봐라
영화 줄거리가 재밌어요
개꿀잼완전개꿀잼임ㄹㅇ
끝내주는 OST와 뛰어난 영상미!
와 늦게 봣는데.... 평론레기들이 8점 이상 준거면 진짜 미친거다..재미는 모르겠지만.. 여튼 웰메이드 필름
"코믹스와 카툰과 망가의 통섭 개그 액션, 스토리뿐만 아니라 표현으로도 차원을 넘나든다. 다양성을 품은 소년의 성장 서사가 심지어 쿨해!"
그래픽 연출 스토리등 뭐하나 빠지는게없고  등장인물도다 특징이크게 나타난다 명작중에 명작
소니에서 만든 최고의 애니메이션
완전 진짜 댕꿀잼 영화다. 진짜 추천!!!!
완벽. 굿굿
"최고! 픽사와는 또다른 화끈한 영상미에 탄탄한 스토리, 감각적 ost , 모든 면에서 완벽한 애니"
소니는 일본이니까 당연 에니메이션이~ 그러나 미국식 연출 기법으로 잘 만들었다.
이걸 이제 보다니 ㅠㅠ 죽이네요
소니는 앞으로 애니메이션만 만들자
보다끔 평점너무고평가됨
영상미랑 ost 너무 좋은데? 엄청 재밌음 그리고 삿대질은 누가 먼저한거야?
100년에 한번 나올까 말까 한 띵작임 미쳤음
너무지루하고졸렸어요 대여료 아깝
친구가 재미있다 재미있다 했는데도 미루다가 지금 보는데 세상 너무 재미있어서 깜짝 놀랐습니다. 영상미도 아주 훌륭하고 나오는 노래들도 너무 취저에 스파이더맨 유니폼도 진짜 개성있고 넘 취향저격..ㅜㅜ 안보신분들 언능 보세요 진짜 후회 안합니다. 킬링 타임으로 볼려다가 집중 빡 해서 보게 되는 명작명작...
진짜 최고임 아직 안봤다면 주저없이 오늘 저녁에 보시길..
"여러번 봤는데 볼때마다 점점 재밌어짐스토리,영상미,OST 다 좋음애니메이션 중에 제일 재밌게 봤음"
""
"애니메이션의 카툰화~""신난다~"""
영화보다훨재밌슴지루하지않음
애니싫어하는분들에게도 존잼일듯그어떤 스파이더맨보다 더 재밌었고 최고였음
멀티버스를 활용하여 시대 반영까지 한 세련되고 영리한 스파이더맨
""
말이 필요없다 의심하지마.
롤러코스터의 속도감에도 장면 하나하나가 잊혀지지 않을 정도로 강렬하다. 장점과 단점이 분명한 게 애니메이션의 매력이라 가벼운 마음으로 보고 만족스러웠다.
""
절대 보지마세요. 스토리도 막장이고 연출도 정신없고 눈만 아프고 화려하긴 한데 ㄴㅈ임 0.001점 준다
애니메이션 영화로 나와도 굉장히 재미있는 스파이더맨 영화입니다.
연출이 특이하고 재밌음
모든걸 다 잡은 애니메이션 영화. 최고.
개잼ㅋㅋ도랏음 10자10자
만화책 컬러 코믹스를 영상 으로 보는 느낌  대박임
"뻔한 스파이더-맨과는 다르다. 처음부터 쉴새없이 밀어 부친다. 색감, 연출이 참 좋다. 다양한 스파이더-맨들을 볼 수 있어서 더 좋았다."
후속편이 간절하게 기다려지는게 얼마만이냐
""
그래... PC요소를 집어넣을거면 이렇게 하란 말이야...
""
스파이더맨이 이렇게 재밌을 줄이야...
""
보는 내내 토할뻔 너무 정신없다..
10점으론 부족한 영화
돈주고 볼만함 아니 극장에서 못봐줘서 미안해여
""
Ost도 좋고 스토리도 좋음 괜히 마블이 아니라구...
디즈니 픽사영화같은 느낌은 정말 안나고 재미있다.
진짜안보면 후회  이게 스파이더맨이지
"연출과 음악이 너무 좋아요. 근데 마일스 모랄레스 퓌웅신 새끼, 왠 쪽바리 스파이더맨? 뭔 2/3를 달라붙지마 달라붙지마 이OO만 하다가 끝나냐. 퓌웅신 깜댕이 새꺄"
마블 못지 않다. 여태 보지 못한 애니매이션. 애니보고 감동 먹는 나는 아직 꼰대랑 거리가 멀다 퓨어하다
스파이더맨 재미없다고 생각했었는데완전 바뀜 이게 진짜 스파이더맨
내용이 너무 재밌었어요. 스파이더맨을 대표할 영화. 그리고 제가 자막판이랑 더빙을 둘다 봤는데 더빙판이 너무 잘되어 있네요ㅋㅋㅋ성우분들이 캐릭터를 너무 잘 표현해주셨네요! 더빙판 강추입니다!
걍 미침... 꼭보셈....
스파이더맨 영상화 중 최고!
쌓아온 업적과 새로운 도전이 합쳐지니 이전에 없던 걸작이!
이거 1점주는 애들은 평생 신과함께나 봐야됨 딱 그 수준
마일즈 모랄레스가 새로운 스파이더맨이 됐다.
""
음악 아트웍 연출 캐릭터들의 매력 뭐하나 빠짐없이 좋다.
시간 때우기용 무난한 애니매이션
소니가 이를 갈고 만든 영화
영화의 질이 너무 좋아 어지러움을 같이 느낄수 있었다.
꼬맹이 각성까지 너무 오래 걸렸지만 볼만했다. 엔딩크레딧에 스파이더맨 2099 등장해서 그런지 후편이 더 기대된다
인종차별을 가장 싫어하는데 흑인꼬맹이가 스파이더맨?
핵노잼 티비로봐서 다행
어메이징 스파이더맨이랑 MCU 스파이더맨보다재밌다!
일본캐릭터를 등장시켰으면 안됐어
아마 역대 스파이더맨 영화중 최고가 아닐까 싶다.
블랙워싱이 상당히 역겹네
눈과 귀가 너무 즐거운 영화이고 연출이 참신해서 좋다
노잼 고평가 아이러니
모든 부분에서 최고다.
유니버스의 코믹콘감성과 아트의 만남
모두가 히어로가 될 수 있다.
영상미는 역대급이다 진짜
진짜 미친 영화 ㄹㅇ추천
새로운 세계관의 스파이더맨~ 화려한 색감과 쉴 틈 없이 몰아치는 영상미와 액션(feat. 에어조던1 오리진)
애니는 처음보는데.. 재밌게 보다가 나머지 스파이더맨 3인(?) 이건 뭐징? 넘 확 깨..ㅠㅠ 그것빼곤 재밌넹. 마지막 삿대질도ㅋㅋ
다좋아요!! 눈이즐겁네요 ㅋㅌ
못생긴 흑인놈이 스파이더맨이라니 말세네
재미있네요! 다음편도 만드세요!
미친 연출 그리고 눈과 귀를 동시에 즐겁게 해주는 미친 영상미와 ost까지..  단연 최고의 애니메이션.
진짜  네이버평 수많은영화를 봐도 안달았는데이 영화보고달음 진짜 개명작 ㅠ
죽여주게 짜릿하다!
스토리도 나름 탄탄하고(영화의 시간관계상 말하지 못한것들이 너무 많았지만...)말하려는 주제는 확실했다. 방황하는 숨고싶어하는 청소년들의 스파크를 이리도 가슴벅차게 표현할줄이야.액션씬 활공씬 너무 멋지고 흥분되게 표현했고 쓰리디와 투디를 넘나들면서 자연스럽레 연출하고 만화적표현들을 써주면서 더 직관적으로 우리에게 와닿았다.이런 ost에 활공연출이면 반칙이자나..
최고최고최고최고최고
진짜 짱임 ㅠㅠㅠ 내 인생영화
와...보고 할말을 잃었다. 스파이더맨2를 넘어서서 역대 스파이더맨 시리즈중 최고라 해도 손색이 없다
아 ㄹㅇ 최고다...
"애니메이션의 가치, 스파이더맨의 가치, 영화의 가치"
스파이더맨 파프롬홈은 실망했는데 이건 뭔데 이렇게 재밌음?
영화를 초월하는 스파이더맨 애니는 이번이 처음일듯 싶네늦었다고 생각했을때가 정말 늦었어그러니 지금당장 다운받아봐라ㅇㅈ ㅈㄹ다라는 말이 나와도 부족한 애니임!
진짜 잼있다 이런 스타일 죽이는 영화는 처음이다
컬쳐쇼크.. 예술작품이다..
진짜 보는내내 소름.. 10점을 안줄 수가 없다 .... 환상적이었음.
""
