영화댓글
재밌는데 평점이 낮네요 ㅋㅋㅋ
황정민도 황정민이지만 조연배우들 연기도 상당히 인상적이었다
왠만한 공포 영화보다 더 무섭네 ㄷㄷ
내가본 한국영화중 최악이라고 생각 듬
역시 황정민이구나 했던 영화
"평점보고 고민하지말고 보세요!! 배우들 연기 탄탄하고 흥미진진하게 봤습니당~~ ㅎㅎ 같이 잡힌 여자분 넘 이뻐용,,,"
이호정 배우님관심있어서 보러 갔음!! 3차관람까지 했어요~ 재밋음!!
누가 알바풀었냐 이게 어떻게 이렇게 평점이 높을수 있습니까?
스토리는 신선했지만 15세 관람가라고 하기에는 폭력적이었던 영화
황정민 연기만 볼만한 영화
오 재밌었음다^^  징그러울까 걱정했는데 전혀.쫄깃하고 잼났습니다.
몰입감이 뛰어남.10자라니 이 그지 같은...
주인공을 실제 배우 황정민으로 설정하지 않아도 이야기 진행에 아무런 영향이 없었을 것 같다. 이 영화에서 연기를 못하는 배우는 한 명도 없다. 특히 납치범들 우두머리를 연기한 배우는 어디서 섭외했을까 싶을 정도다. 신인 감독임에도 불구하고 이 정도 긴장감을 연출해냈다는 것에 박수를 보내고 싶다. 스토리 자체는 중간중간에 예상이 될 정도로 허술한 면이 있었지만 보는 내내 시간 가는 줄 몰랐다. 굿잡!
""
황정민이 맥살잡고 끌고간 영화. 황정민 연기는 진짜 잘한다...
배우 황정민은 실제로 인질을 잡힌것이 없는데 왜 인질을 잡히느냐가 그게 궁금합니다
너무 잔인해서 영화보다가 나가고싶었음 짜증남 그리고 19금좀 달면 좋겠음
극장에서 보러가는거는 비추입니다
재미도없고 감동도없고 뻔한 인질극 영화
황정민님 연기 제외 볼게 없습니다.모든 부분에서 엄복동 이하의 수준이며 유일한 볼거리는 황정민님의 연기력입니다.별 반개도 아깝지만 황정민님 연기력은 매우 볼만했으므로 3점 남깁니다.
개연성보다는 배우들의 하드캐리
기대 안하고 봐서 그런지 재미나게 봤어요. 배우들 연기 좋아요~~^^
"황정민님 연기 대박입니다 ,,!"
아니...왜....황정민님 데려다가 이런영화만드시는거냐고요...내돈어쩔..
황정민 신들린 연기네요
처음 40분은 좋았다 그 뿐
"조연들이 빛나는 영화였고 , 역시 황정민 입니다."
쫄깃한 인질극에 집중한다면 충분히 즐길만함
모든게 배우들 연기로 시작되서 끝나는 영화
액션은 조금 답답한 감이 있었지만 정말 황정민 배우의 연기가 영화를 살렸습니다.
황정민빼고 다저따위 싸구려 배우들 연기못해서 몰입도안되고나도배우하겠다 발성이안되서 재미가없네
황정민 연기 짱  믿고 보는 황정민
"중반까지 정말 불쾌하다. 싸이코패스 연기가 ‘우와 진짜 싸이코패스같다’ 가 아니라 정말로 소름끼치는 불쾌함…다만 중반 이후부터 클라이맥스까지는 불쾌함이 조금 줄어들고 비교적으로 몰입했다. 황정민 연기 진짜 잘한다.초반에는 황정민 연기도 안보일 정도로 불쾌한데, 그렇다고 딱히 접해본 적 없는 새로운 납치 영화는 아니었다."
연기 좋았어요 굿굿 재밌게봄
황정민이라 그냥 믿고보는 영화 나름 재도있음
평범한 연출에 숨을 불어 넣는 황정민의 원맨쇼
그래...이젠 소재가 다 떨어졌지.... 별기대없이 봐야 그나마 볼만한 영화.
"정말 구더기같은 영화 ㅋㅋ 대학생, 아니 초등학생이 각본을 짜더라도 이것보단 더 잘 만들 영화 ㅋㅋ. 개연성도 없고, 급발진에 느닷없는 노출신과 신파. 어떤 부상을 당하더라도 성인남성은 거뜬히 이기는 주인공과 총에 맞아도 일대 다수는 이기는 악역 ㅋㅋ 정말 구리네요~^^아무리 좋은 배우를 섭외를 하더라도 구린 각본은 커버 못친다는 걸 보여준 영화 ㅋㅋ"
흥미진진하고 너무 재밌게 봤음!!!
리뷰알바가 진짜 있구나 뭐 이런영화가 있나 했음 소재는 좋았고 연기력도 좋았지만 현실성이 너무 없다
진짜 왜 평점이 낮은지이해안됨잼써요!!
제목이 왜 인질인가요? 황정민 아님?
손에 땀 쥐고봄 개 잔인하고 떾뚜 장면 나오는데 15세는 아닌 듯 18세 때려야함
""
아니 영화라는게 기본적인 네러티브는 있어야 할꺼 아녀 무슨 예능 에피소드 찍는것도 아니고 아오
감동은 좀 약하고 스릴은 배우들 연기때문에 있어요~ 내용자체는 무난한데 황정민씨 연기가 설득력있내요
샹치나 한번 더 볼 걸 그랬어
역시 갓황정민입니다 믿고 봤어요 색다로운 연출해서 더 색다르게 재밌게 봤던 것 같아요!
연기력과 살벌함만 있는 영화
모가디슈 정말재밌습니다. 그럼 이만
